0.0	 1.5572
9.2308   1.5572
18.462   1.5889
27.692   1.6226
36.923   1.6585
46.154   1.6968
55.385   1.7376
64.615   1.7813
73.846   1.8281
83.077   1.8784
92.308   1.9324
101.54   1.9906
110.77   2.0535
120.00   2.1216
129.23   2.1955
138.46   2.2759
147.69   2.3638
156.92   2.4600
166.15   2.5657
175.38   2.6823
184.62   2.8113
193.85   2.9548
203.08   3.1149
212.31   3.2945
221.54   3.4970
230.77   3.7265
240.00   3.9883
249.23   4.2889
258.46   4.6366
267.69   5.0420
276.92   5.5190
286.15   6.0860
295.38   6.7679
304.62   7.5985
313.85   8.6257
323.08   9.9179
332.31   11.577
341.54   13.757
350.77   16.705
360.00   20.830
369.23   26.847
378.46   36.085
387.69   51.180
396.92   77.679
406.15   127.04
415.38   212.76
424.62   282.86
433.85   219.03
443.08   125.14
452.31   71.299
461.54   43.678
470.77   28.702
480.00   19.952
489.23   14.492
498.46   10.895
507.69   8.4193
516.92   6.6534
526.15   5.3558
535.38   4.3785
544.62   3.6268
553.85   3.0382
563.08   2.5699
572.31   2.1925
581.54   1.8845
590.77   1.6306
600.00   1.4192
609.23   1.2418
618.46   1.0918
627.69   0.9640
636.92   0.8545
646.15   0.7602
655.38   0.6784
664.62   0.6073
673.85   0.5451
683.08   0.4905
692.31   0.4424
701.54   0.3998
710.77   0.3621
720.00   0.3285
729.23   0.2985
