10.00   9.312E+01
11.00   9.709E+01
12.00   1.008E+02
13.00   1.043E+02
14.00   1.075E+02
15.00   1.106E+02
16.00   1.135E+02
17.00   1.163E+02
18.00   1.188E+02
20.00   1.236E+02
22.50   1.289E+02
25.00   1.335E+02
27.50   1.377E+02
30.00   1.413E+02
32.50   1.446E+02
35.00   1.475E+02
37.50   1.502E+02
40.00   1.526E+02
45.00   1.567E+02
50.00   1.600E+02
55.00   1.627E+02
60.00   1.647E+02
65.00   1.662E+02
70.00   1.672E+02
80.00   1.678E+02
90.00   1.671E+02
100.00  1.654E+02
110.00  1.629E+02
120.00  1.599E+02
130.00  1.566E+02
140.00  1.531E+02
150.00  1.496E+02
160.00  1.461E+02
170.00  1.426E+02
180.00  1.392E+02
200.00  1.328E+02
225.00  1.255E+02
250.00  1.189E+02
275.00  1.130E+02
300.00  1.078E+02
325.00  1.031E+02
350.00  9.880E+01
375.00  9.493E+01
400.00  9.141E+01
450.00  8.524E+01
500.00  8.000E+01
550.00  7.548E+01
600.00  7.155E+01
650.00  6.809E+01
700.00  6.502E+01
800.00  5.979E+01
900.00  5.549E+01
